run_id,sample_id,prompt_id,stage,signature,d,compliant,normalization_version,timestamp
slugify_v1_275ec8c3,sample_7f453ae8,slugify_v1,pre,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.045,True,2025-09-26,2025-09-26T15:40:25.894828
slugify_v1_275ec8c3,sample_7f453ae8,slugify_v1,pre,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.045,True,2025-09-26,2025-09-26T15:40:28.621414
slugify_v1_275ec8c3,sample_7f453ae8,slugify_v1,pre,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.045,True,2025-09-26,2025-09-26T15:40:31.572917
slugify_v1_275ec8c3,sample_7f453ae8,slugify_v1,pre,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.045,True,2025-09-26,2025-09-26T15:40:36.658552
slugify_v1_275ec8c3,sample_7f453ae8,slugify_v1,pre,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.045,True,2025-09-26,2025-09-26T15:40:39.417151
slugify_v1_275ec8c3,sample_7f453ae8,slugify_v1,pre,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.045,True,2025-09-26,2025-09-26T15:40:53.023760
slugify_v1_275ec8c3,sample_7f453ae8,slugify_v1,pre,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.045,True,2025-09-26,2025-09-26T15:40:56.119596
anchor_fib_v1_175336e7,sample_c0ad91b8,anchor_fib_v1,pre,8f572c1713ed52036875ab1618973446a796fc080f47b1887d4f4d9358ef71a7,0.75,True,2025-09-26,2025-09-26T15:41:25.822404
slugify_v1_a9f9ab8d,sample_8e65f9f2,slugify_v1,pre,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.045,True,2025-09-26,2025-09-26T15:41:31.372035
slugify_v2_3777b2b0,sample_03da5a32,slugify_v2,pre,00cada258bde084963577fe786e4c2dbb83f94b6f3c242957af2870806b9c8b4,0.39299610894941633,True,2025-09-26,2025-09-26T15:41:36.960173
csvjson_v1_080dc9c6,sample_3e81edc0,csvjson_v1,pre,f01ed40b4c401332b9589e9d7911afcee94b29b5cdb85e8b5f2a86a1bc1fdda8,0.7269372693726938,True,2025-09-26,2025-09-26T15:41:41.599907
csvjson_v2_2d35bc53,sample_c40e7d06,csvjson_v2,pre,7cc51ffc75c2e6d5117c307475b34ef0d2f2d345eb490a085e3010f8c73e4ada,0.7,True,2025-09-26,2025-09-26T15:41:46.590637
brackets_v1_9338ace5,sample_a2a90147,brackets_v1,pre,54dccd7a573ace4aae456d47b636e594def529d52bd24af670c339bded9833ec,0.7521739130434782,False,2025-09-26,2025-09-26T15:41:51.400813
brackets_v2_2e6659cc,sample_ad5c22df,brackets_v2,pre,b80188d208e86b4fcf10bd2b54f8ce33acce304506ce134a7c55fac07851e3d1,0.7662337662337663,False,2025-09-26,2025-09-26T15:41:57.455597
anchor_fib_v1_96fa77e5,sample_b347a020,anchor_fib_v1,pre,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,1.0,False,2025-09-26,2025-09-26T16:42:11.040054
