ts,prompt_id,run_id,model,temperature,raw_hash,canon_signature,oracle_pass,structural_ok,canonicalization_ok,contract_pass,notes,metrics_version
1756306710,slugify_v2,1,gpt-4o-mini,0.0,979c3d435fc7c8757236e91027ff101ba22e8ddeac29d49695d18ccecd752f4c,44f723c4a375a5ae19979980d3fd58690b7ec696adb07c0264a140c2f72df1b8,0,1,1,0,,2025-08-26
1756306713,slugify_v2,2,gpt-4o-mini,0.0,0eece808834bab224f6f5260179a4af257542b99e84460aef1d889749c066611,0f5b91dc1c06ca2d441604c2e869fa466628be427ab8121daed87556d8b93180,0,1,1,0,,2025-08-26
1756306716,slugify_v2,3,gpt-4o-mini,0.0,979c3d435fc7c8757236e91027ff101ba22e8ddeac29d49695d18ccecd752f4c,44f723c4a375a5ae19979980d3fd58690b7ec696adb07c0264a140c2f72df1b8,0,1,1,0,,2025-08-26
1756306719,slugify_v2,4,gpt-4o-mini,0.0,0eece808834bab224f6f5260179a4af257542b99e84460aef1d889749c066611,0f5b91dc1c06ca2d441604c2e869fa466628be427ab8121daed87556d8b93180,0,1,1,0,,2025-08-26
1756306722,slugify_v2,5,gpt-4o-mini,0.0,979c3d435fc7c8757236e91027ff101ba22e8ddeac29d49695d18ccecd752f4c,44f723c4a375a5ae19979980d3fd58690b7ec696adb07c0264a140c2f72df1b8,0,1,1,0,,2025-08-26
1756306724,csvjson_v1,1,gpt-4o-mini,0.0,f01ed40b4c401332b9589e9d7911afcee94b29b5cdb85e8b5f2a86a1bc1fdda8,f01ed40b4c401332b9589e9d7911afcee94b29b5cdb85e8b5f2a86a1bc1fdda8,1,1,1,1,,2025-08-26
1756306726,csvjson_v1,2,gpt-4o-mini,0.0,f01ed40b4c401332b9589e9d7911afcee94b29b5cdb85e8b5f2a86a1bc1fdda8,f01ed40b4c401332b9589e9d7911afcee94b29b5cdb85e8b5f2a86a1bc1fdda8,1,1,1,1,,2025-08-26
1756306728,csvjson_v1,3,gpt-4o-mini,0.0,f01ed40b4c401332b9589e9d7911afcee94b29b5cdb85e8b5f2a86a1bc1fdda8,f01ed40b4c401332b9589e9d7911afcee94b29b5cdb85e8b5f2a86a1bc1fdda8,1,1,1,1,,2025-08-26
1756306730,csvjson_v1,4,gpt-4o-mini,0.0,f01ed40b4c401332b9589e9d7911afcee94b29b5cdb85e8b5f2a86a1bc1fdda8,f01ed40b4c401332b9589e9d7911afcee94b29b5cdb85e8b5f2a86a1bc1fdda8,1,1,1,1,,2025-08-26
1756306732,csvjson_v1,5,gpt-4o-mini,0.0,f01ed40b4c401332b9589e9d7911afcee94b29b5cdb85e8b5f2a86a1bc1fdda8,f01ed40b4c401332b9589e9d7911afcee94b29b5cdb85e8b5f2a86a1bc1fdda8,1,1,1,1,,2025-08-26
1756306734,csvjson_v2,1,gpt-4o-mini,0.0,7cc51ffc75c2e6d5117c307475b34ef0d2f2d345eb490a085e3010f8c73e4ada,7cc51ffc75c2e6d5117c307475b34ef0d2f2d345eb490a085e3010f8c73e4ada,0,1,1,0,,2025-08-26
1756306735,csvjson_v2,2,gpt-4o-mini,0.0,7cc51ffc75c2e6d5117c307475b34ef0d2f2d345eb490a085e3010f8c73e4ada,7cc51ffc75c2e6d5117c307475b34ef0d2f2d345eb490a085e3010f8c73e4ada,0,1,1,0,,2025-08-26
1756306737,csvjson_v2,3,gpt-4o-mini,0.0,7cc51ffc75c2e6d5117c307475b34ef0d2f2d345eb490a085e3010f8c73e4ada,7cc51ffc75c2e6d5117c307475b34ef0d2f2d345eb490a085e3010f8c73e4ada,0,1,1,0,,2025-08-26
1756306739,csvjson_v2,4,gpt-4o-mini,0.0,7cc51ffc75c2e6d5117c307475b34ef0d2f2d345eb490a085e3010f8c73e4ada,7cc51ffc75c2e6d5117c307475b34ef0d2f2d345eb490a085e3010f8c73e4ada,0,1,1,0,,2025-08-26
